,,,,,
,BƯỚC 2: LIỆT KÊ TẤT CẢ TASKS CẦN LÀM CHO V1,,,,
,"❓  Câu hỏi: ""Liệt kê TẤT CẢ những task cần làm để các tính năng ở Bước 1 hoạt động được trên V1. Đừng bỏ sót, kể cả task nhỏ.""",,,,
,"💡  Sau khi liệt kê xong → Cộng tổng giờ ước tính. Nếu tổng > 32 giờ (4 ngày × 8 giờ) → Quay lại Bước 1 cắt thêm tính năng, HOẶC chuyển sang Bước 3 tối ưu.",,,,
,,,,,
,#,TÊN TASK,"MÔ TẢ NGẮN (làm gì, output là gì)","ƯỚC TÍNH
(giờ)","PHỤ THUỘC VÀO
(task # nào?)"
,⚙️  SETUP & INFRASTRUCTURE,,,,
,1,Antigravity,vibecode output :code,0.5,
,2,API key,call API để tóm tắt tài liệu,0,
,3,Auth,Đăng nhập bằng google,1,
,4,Server & deploy,"Đăng ký VPS, setup luồng commit, Viết dockerfile & docker-compose, cài đặt database",2,
,🖥️  FRONTEND / GIAO DIỆN,,,,
,5,"Giao diện flashcard flip, nút đánh giá ","Giao diện lật thẻ, nút bấm đánh giá",1,
,6,Giao diện đăng ký & đăng nhập bằng google,,0.5,
,7,Giao diện upload tài liệu,Luồng upload tài liệu để hệ thống split thành card,1,
,8,,,,
,🤖  BACKEND / API,,,,
,9,RAG Pipeline,LangChain + OpenAI: Đọc PDF -> Chia nhỏ (Chunking) -> Prompt tạo Flashcard,4,
,10,Database Schema	,"Bảng Users, Decks, Flashcards, Progress (Lưu SM-2)",2,
,11,Logic SM-2,Viết hàm tính toán nextReviewDate dựa trên feedback,2,
,12,,,,
,🗄️  DATABASE / FIREBASE,,,,
,13,Firebase cho đăng ký & đăng nhập,,1,
,14,Postgresql cho các dữ liệu khác,,1,
,15,,,,
,16,,,,
,🧪  TEST & DEPLOY,,,,
,17,Test luồng,,2,
,18,Deploy lên VPS,,2,
,19,,,,
,20,,,,
,,,,,
,⏱️  TỔNG THỜI GIAN ƯỚC TÍNH:,,,19,giờ
,,,,,
,💡  Mục tiêu: Tổng < 32 giờ. Nếu nhiều hơn → sang Bước 3 để tối ưu.,,,,
